feature,mean_abs_shap,mean_shap,rank
X166,2.2024439475267926e-05,1.5820642933331676e-07,236
X116,2.196152933537542e-05,2.109439756852932e-06,237
X1085,2.186272215850844e-05,-1.3301990670720462e-06,238
X83,2.182041316212335e-05,-8.091829258733739e-07,239
X745,2.171960889074573e-05,1.7686240704815115e-06,240
X738,2.1686611152567788e-05,9.580807496097485e-07,241
X887,2.1405745420903388e-05,2.3757337513207225e-07,242
X809,2.1315319319180403e-05,4.411952171754069e-07,243
X816,2.1306086790183654e-05,1.2354427607516792e-06,244
X690,2.0889697851542953e-05,-7.33172119760914e-07,245
X46,2.074089850364798e-05,3.630985693143735e-07,246
X318,2.0622590031202533e-05,1.8328456375748628e-07,247
X123,2.0513489567991017e-05,-4.6760521645296585e-07,248
