ufs_serial,feature,shap_value,feat_norm,rank
S02595,X818,0.006902467071493597,0.0,0
S02598,X818,0.006902467071493597,0.0,0
S02602,X818,0.006902467071493597,0.0,0
S02603,X818,0.006902467071493597,0.0,0
S02610,X818,0.006902467071493597,0.0,0
S02623,X818,0.006902467071493597,0.0,0
S02625,X818,0.006902467071493597,0.0,0
S02630,X818,0.006902467071493597,0.0,0
S02640,X818,0.006902467071493597,0.0,0
S02641,X818,0.006902467071493597,0.0,0
S02647,X818,0.006902467071493597,0.0,0
S02657,X818,0.006902467071493597,0.0,0
S02658,X818,0.006902467071493597,0.0,0
S02666,X818,0.006902467071493597,0.0,0
S02687,X818,0.006902467071493597,0.0,0
S02688,X818,0.006902467071493597,0.0,0
S02695,X818,0.006902467071493597,0.0,0
S02702,X818,0.006902467071493597,0.0,0
S02704,X818,0.006902467071493597,0.0,0
S02707,X818,0.006902467071493597,0.0,0
S02709,X818,0.006902467071493597,0.0,0
S02727,X818,0.006902467071493597,0.0,0
S02730,X818,0.006902467071493597,0.0,0
S02732,X818,0.006902467071493597,0.0,0
S02735,X818,0.006902467071493597,0.0,0
S02738,X818,0.006902467071493597,0.0,0
S02740,X818,0.006902467071493597,0.0,0
S02746,X818,0.006902467071493597,0.0,0
S02749,X818,0.006902467071493597,0.0,0
S02771,X818,0.006902467071493597,0.0,0
S02774,X818,0.006902467071493597,0.0,0
S02777,X818,0.006902467071493597,0.0,0
S02779,X818,0.006902467071493597,0.0,0
S02785,X818,0.006902467071493597,0.0,0
S02791,X818,0.006902467071493597,0.0,0
S02802,X818,0.006902467071493597,0.0,0
S02806,X818,0.006902467071493597,0.0,0
S02821,X818,0.006902467071493597,0.0,0
S02826,X818,0.006902467071493597,0.0,0
S02830,X818,0.006902467071493597,0.0,0
S02835,X818,0.006902467071493597,0.0,0
S02838,X818,0.006902467071493597,0.0,0
S02840,X818,0.006902467071493597,0.0,0
S02841,X818,0.006902467071493597,0.0,0
S02860,X818,0.006902467071493597,0.0,0
S02864,X818,0.006902467071493597,0.0,0
S02865,X818,0.006902467071493597,0.0,0
S02873,X818,0.006902467071493597,0.0,0
S02875,X818,0.006902467071493597,0.0,0
S02877,X818,0.006902467071493597,0.0,0
S02886,X818,0.006902467071493597,0.0,0
S02897,X818,0.006902467071493597,0.0,0
S02899,X818,0.006902467071493597,0.0,0
S02900,X818,0.006902467071493597,0.0,0
S02903,X818,0.006902467071493597,0.0,0
S02905,X818,0.006902467071493597,0.0,0
S02912,X818,0.006902467071493597,0.0,0
S02922,X818,0.006902467071493597,0.0,0
S02931,X818,0.006902467071493597,0.0,0
S02933,X818,0.006902467071493597,0.0,0
S02949,X818,0.006902467071493597,0.0,0
S02960,X818,0.006902467071493597,0.0,0
S02967,X818,0.006902467071493597,0.0,0
S02971,X818,0.006902467071493597,0.0,0
S02977,X818,0.006902467071493597,0.0,0
S02979,X818,0.006902467071493597,0.0,0
S02980,X818,0.006902467071493597,0.0,0
S02981,X818,0.006902467071493597,0.0,0
S02983,X818,0.006902467071493597,0.0,0
S02993,X818,0.006902467071493597,0.0,0
S03009,X818,0.006902467071493597,0.0,0
S03012,X818,0.006902467071493597,0.0,0
S03014,X818,0.006902467071493597,0.0,0
S03017,X818,0.006902467071493597,0.0,0
S03020,X818,0.006902467071493597,0.0,0
S03022,X818,0.006902467071493597,0.0,0
S03028,X818,0.006902467071493597,0.0,0
S03030,X818,0.006902467071493597,0.0,0
S03031,X818,0.006902467071493597,0.0,0
S03032,X818,0.006902467071493597,0.0,0
S03040,X818,0.006902467071493597,0.0,0
S03042,X818,0.006902467071493597,0.0,0
S03043,X818,0.006902467071493597,0.0,0
S03050,X818,0.006902467071493597,0.0,0
S03053,X818,0.006902467071493597,0.0,0
S03055,X818,0.006902467071493597,0.0,0
S03061,X818,0.006902467071493597,0.0,0
S03071,X818,0.006902467071493597,0.0,0
S03072,X818,0.006902467071493597,0.0,0
S03082,X818,0.006902467071493597,0.0,0
S03083,X818,0.006902467071493597,0.0,0
S03084,X818,0.006902467071493597,0.0,0
S03088,X818,0.006902467071493597,0.0,0
S03090,X818,0.006902467071493597,0.0,0
S03092,X818,0.006902467071493597,0.0,0
S03093,X818,0.006902467071493597,0.0,0
S03095,X818,0.006902467071493597,0.0,0
S03100,X818,0.006902467071493597,0.0,0
S03102,X818,0.006902467071493597,0.0,0
S03108,X818,0.006902467071493597,0.0,0
S03111,X818,0.006902467071493597,0.0,0
S03118,X818,0.006902467071493597,0.0,0
S03128,X818,0.006902467071493597,0.0,0
S03130,X818,0.006902467071493597,0.0,0
S03132,X818,0.006902467071493597,0.0,0
S03143,X818,0.006902467071493597,0.0,0
S03148,X818,0.006902467071493597,0.0,0
S03150,X818,0.006902467071493597,0.0,0
S03162,X818,0.006902467071493597,0.0,0
S03163,X818,0.006902467071493597,0.0,0
S03164,X818,0.006902467071493597,0.0,0
S03165,X818,0.006902467071493597,0.0,0
S03169,X818,0.006902467071493597,0.0,0
S03172,X818,0.006902467071493597,0.0,0
S03173,X818,0.006902467071493597,0.0,0
S03197,X818,0.006902467071493597,0.0,0
