die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
31,26,601,0.00245558,0.00378374,0.00105645,235,39.1,2455.6,3783.7,9.179
31,27,720,0.00252338,0.00373332,0.00098593,238,33.06,2523.4,3733.3,9.708
31,28,702,0.00237082,0.0037142,0.00081342,137,19.52,2370.8,3714.2,10.308
31,29,764,0.00251784,0.00373853,0.00078016,230,30.1,2517.8,3738.5,10.966
31,30,660,0.00225844,0.00365044,0.00100929,118,17.88,2258.4,3650.4,11.673
31,31,594,0.00236756,0.00350506,0.00081582,145,24.41,2367.6,3505.1,12.42
31,32,38,0.00164421,0.00328674,0.00040092,2,5.26,1644.2,3286.7,13.2
32,11,38,0.0025033,0.0032252,0.00071408,2,5.26,2503.3,3225.2,12.619
32,12,609,0.00247469,0.00373508,0.00078703,141,23.15,2474.7,3735.1,11.8
32,13,662,0.00254202,0.00378597,0.00081881,167,25.23,2542.0,3786.0,11.011
32,14,613,0.00247059,0.00382294,0.00097954,223,36.38,2470.6,3822.9,10.259
32,15,514,0.00235939,0.00374313,0.00111039,197,38.33,2359.4,3743.1,9.552
32,16,737,0.00257741,0.00401986,0.00079916,184,24.97,2577.4,4019.9,8.902
32,17,536,0.0023541,0.00387568,0.00104238,151,28.17,2354.1,3875.7,8.322
