die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
25,15,542,0.00262511,0.00362856,0.00095108,142,26.2,2625.1,3628.6,15.435
25,16,638,0.00257322,0.0036492,0.00096879,163,25.55,2573.2,3649.2,15.042
25,17,570,0.00265166,0.00362868,0.00086259,162,28.42,2651.7,3628.7,14.705
25,18,604,0.00271071,0.00365621,0.00088239,157,25.99,2710.7,3656.2,14.431
25,19,719,0.00252396,0.00367604,0.00105741,263,36.58,2524.0,3676.0,14.221
25,20,545,0.00261798,0.00375685,0.00091474,165,30.28,2618.0,3756.8,14.08
25,21,585,0.00262909,0.00372354,0.00100464,152,25.98,2629.1,3723.5,14.009
25,22,817,0.00249047,0.0036137,0.00110743,244,29.87,2490.5,3613.7,14.009
25,23,620,0.00248885,0.00365311,0.0009531,128,20.65,2488.8,3653.1,14.08
25,24,615,0.00246974,0.00361627,0.00102371,166,26.99,2469.7,3616.3,14.221
25,25,685,0.00256979,0.00365214,0.00094094,176,25.69,2569.8,3652.1,14.431
25,26,811,0.00239769,0.00364625,0.0010455,185,22.81,2397.7,3646.2,14.705
25,27,709,0.002434,0.00362781,0.00087237,89,12.55,2434.0,3627.8,15.042
25,28,746,0.00254238,0.00361562,0.00086597,137,18.36,2542.4,3615.6,15.435
25,29,462,0.00261198,0.00358123,0.00080262,104,22.51,2612.0,3581.2,15.882
25,30,638,0.00249658,0.00361935,0.00072963,120,18.81,2496.6,3619.4,16.378
26,12,137,0.00224424,0.00324687,0.0007227,0,0.0,2244.2,3246.9,16.101
26,13,656,0.00247135,0.00376312,0.00082201,102,15.55,2471.4,3763.1,15.532
26,14,657,0.00238915,0.00361342,0.00101336,136,20.7,2389.2,3613.4,15.008
26,15,534,0.00246765,0.0036329,0.00104814,139,26.03,2467.6,3632.9,14.534
26,16,808,0.00263755,0.00362591,0.00087335,191,23.64,2637.5,3625.9,14.116
26,17,780,0.0024502,0.00363576,0.0009955,192,24.62,2450.2,3635.8,13.757
26,18,632,0.00265359,0.00366743,0.0009089,217,34.34,2653.6,3667.4,13.463
26,19,575,0.00275296,0.00363669,0.00088315,226,39.3,2753.0,3636.7,13.238
26,20,591,0.00248823,0.0036661,0.00097442,151,25.55,2488.2,3666.1,13.086
26,21,604,0.00257224,0.00363741,0.00106945,229,37.91,2572.2,3637.4,13.01
26,22,659,0.00264704,0.00375661,0.00086662,163,24.73,2647.0,3756.6,13.01
26,23,625,0.00239113,0.00373778,0.00104553,106,16.96,2391.1,3737.8,13.086
26,24,813,0.0025857,0.00360846,0.00092938,167,20.54,2585.7,3608.5,13.238
26,25,671,0.00253249,0.00363616,0.00093127,136,20.27,2532.5,3636.2,13.463
26,26,592,0.00274532,0.00365083,0.00084659,162,27.36,2745.3,3650.8,13.757
26,27,648,0.00257802,0.00362927,0.00082451,114,17.59,2578.0,3629.3,14.116
26,28,534,0.00257153,0.00364011,0.00091187,146,27.34,2571.5,3640.1,14.534
26,29,568,0.00260048,0.00358272,0.00090757,145,25.53,2600.5,3582.7,15.008
26,30,612,0.00247078,0.00359003,0.00077087,98,16.01,2470.8,3590.0,15.532
26,31,31,0.00251418,0.00368898,0.00081524,2,6.45,2514.2,3689.0,16.101
27,12,462,0.00235835,0.00381092,0.00079536,42,9.09,2358.4,3810.9,15.305
27,13,544,0.00244492,0.0036212,0.00091623,103,18.93,2444.9,3621.2,14.705
27,14,662,0.00250992,0.00361454,0.00096824,127,19.18,2509.9,3614.5,14.151
27,15,505,0.00260427,0.00358528,0.00097273,119,23.56,2604.3,3585.3,13.647
27,16,722,0.0024615,0.00362907,0.00097953,146,20.22,2461.5,3629.1,13.2
27,17,596,0.00241741,0.00368336,0.00110801,161,27.01,2417.4,3683.4,12.816
27,18,560,0.0024745,0.00365854,0.00105745,186,33.21,2474.5,3658.5,12.5
27,19,562,0.00239662,0.00363183,0.00111821,164,29.18,2396.6,3631.8,12.258
27,20,611,0.00258067,0.00370833,0.00102832,216,35.35,2580.7,3708.3,12.093
27,21,595,0.00283647,0.00363946,0.00083597,222,37.31,2836.5,3639.5,12.01
27,22,723,0.00253076,0.0036851,0.00102442,216,29.88,2530.8,3685.1,12.01
27,23,538,0.00255541,0.00366439,0.00094196,115,21.38,2555.4,3664.4,12.093
27,24,614,0.00235012,0.00370555,0.0010696,124,20.2,2350.1,3705.6,12.258
27,25,601,0.00272187,0.00360159,0.00092037,242,40.27,2721.9,3601.6,12.5
27,26,603,0.00253848,0.00362449,0.0010065,113,18.74,2538.5,3624.5,12.816
27,27,694,0.00245997,0.00361922,0.00088428,121,17.44,2460.0,3619.2,13.2
27,28,648,0.00244757,0.00364195,0.00094265,124,19.14,2447.6,3642.0,13.647
27,29,487,0.00264942,0.00359255,0.00087309,162,33.26,2649.4,3592.6,14.151
27,30,621,0.0024051,0.00364294,0.00092782,125,20.13,2405.1,3642.9,14.705
27,31,393,0.00237361,0.00359465,0.00082862,69,17.56,2373.6,3594.6,15.305
28,12,494,0.0024993,0.00350778,0.00075242,63,12.75,2499.3,3507.8,14.534
28,13,556,0.00249156,0.00363077,0.00097626,117,21.04,2491.6,3630.8,13.901
28,14,694,0.00254119,0.00364127,0.00099196,201,28.96,2541.2,3641.3,13.314
28,15,484,0.00236617,0.00359365,0.0010739,123,25.41,2366.2,3593.6,12.777
28,16,664,0.00268705,0.00365251,0.00085651,221,33.28,2687.0,3652.5,12.298
28,17,702,0.00242226,0.00365716,0.0010341,164,23.36,2422.3,3657.2,11.885
28,18,667,0.0026004,0.00371834,0.00098187,234,35.08,2600.4,3718.3,11.543
28,19,604,0.00249027,0.00372622,0.0010014,156,25.83,2490.3,3726.2,11.281
