die_x,die_y,pred_a,pred_b,delta,n_a,n_b
20,21,0.00262992,0.00203617,-0.00059374,168,40
20,22,0.00271536,0.00213028,-0.00058508,165,45
20,23,0.00260443,0.00192906,-0.00067537,140,42
20,24,0.00264195,0.00198852,-0.00065343,155,46
20,25,0.00267223,0.00211079,-0.00056144,161,35
20,26,0.00266693,0.00198261,-0.00068432,154,44
20,27,0.00260035,0.00196742,-0.00063293,171,49
20,28,0.00261838,0.00210431,-0.00051407,158,42
20,29,0.0023825,0.00236714,-1.537e-05,78,21
21,14,0.00237201,0.00233206,-3.995e-05,151,44
21,15,0.00263355,0.00187243,-0.00076112,164,38
21,16,0.00256608,0.00194635,-0.00061973,157,49
21,17,0.00261197,0.00197332,-0.00063865,159,46
21,18,0.00267085,0.00190255,-0.0007683,168,39
21,19,0.00263435,0.0019025,-0.00073185,168,45
21,20,0.0026045,0.00195493,-0.00064957,164,40
21,21,0.00259489,0.00183564,-0.00075925,157,44
21,22,0.00255156,0.00193158,-0.00061997,154,39
21,23,0.00264221,0.00220704,-0.00043517,157,45
21,24,0.00265936,0.00186622,-0.00079314,168,48
21,25,0.00269446,0.00188462,-0.00080984,151,48
21,26,0.00258023,0.00215661,-0.00042362,169,43
21,27,0.00255645,0.00204569,-0.00051076,160,39
21,28,0.00260333,0.00222462,-0.00037871,170,41
21,29,0.00241512,0.00260382,0.00018871,144,35
22,14,0.00244146,0.00240245,-3.901e-05,153,38
22,15,0.00250115,0.00172521,-0.00077594,156,41
22,16,0.00257122,0.00216753,-0.0004037,154,48
22,17,0.00262329,0.00188118,-0.0007421,160,47
22,18,0.00269879,0.00197091,-0.00072788,165,35
22,19,0.00269878,0.00168089,-0.00101789,147,44
22,20,0.00264826,0.00214895,-0.00049931,166,42
22,21,0.00260371,0.00211781,-0.0004859,161,42
22,22,0.00265237,0.00211719,-0.00053518,166,49
22,23,0.00258473,0.00196713,-0.0006176,152,46
22,24,0.00263186,0.0020922,-0.00053967,163,46
22,25,0.00267219,0.00210897,-0.00056323,160,38
22,26,0.00270572,0.00193207,-0.00077364,174,43
22,27,0.00259435,0.00205044,-0.00054391,177,49
22,28,0.0025917,0.00203236,-0.00055935,160,43
22,29,0.00254644,0.00243738,-0.00010906,162,36
22,30,0.00173287,0.00362002,0.00188715,11,1
23,13,0.00250588,0.00238914,-0.00011674,72,24
23,14,0.00257875,0.00180609,-0.00077266,150,39
23,15,0.00262075,0.00187813,-0.00074261,165,40
23,16,0.00264871,0.00188773,-0.00076098,149,44
