run_id,wafer_no,total_dies,risk_dies,avg_ppm
39,7,56,0,2237.8
39,9,44,0,1968.3
39,10,44,0,1666.2
39,11,48,0,1526.4
39,12,44,8,3172.2
39,13,16,0,3055.1
39,15,16,12,3326.9
39,16,8,0,2621.3
39,17,12,0,3153.2
39,18,12,4,3289.5
39,19,8,0,3077.0
39,21,20,0,3122.7
39,22,16,0,3134.1
39,24,36,0,2579.9
40,10,88,12,3186.6
40,12,92,40,3306.6
40,14,128,8,3080.1
40,17,92,0,2930.7
40,18,112,60,3315.0
40,19,72,0,2193.4
40,20,44,8,3179.5
40,21,100,0,2386.7
40,22,68,0,2291.3
40,23,68,0,1849.1
40,24,52,0,2004.5
40,25,96,0,2999.6
41,2,96,64,3349.0
41,4,80,68,3394.4
41,5,140,48,3289.2
41,6,80,0,3234.8
41,8,104,68,3398.2
41,10,76,64,3396.6
41,11,96,0,3071.9
41,15,60,0,1587.9
41,16,124,0,2108.2
41,17,80,0,2503.0
41,18,112,0,2654.7
41,20,92,0,2436.1
41,21,64,0,2496.7
42,1,100,88,3441.4
42,2,108,64,3377.4
42,4,80,0,3189.6
42,5,92,32,3333.5
42,6,96,32,3306.1
42,7,72,36,3304.3
42,8,76,40,3327.3
42,10,84,24,3251.3
42,12,120,0,3091.8
42,13,104,32,3310.0
42,14,76,12,3205.0
42,16,84,8,3067.3
42,17,80,12,3234.7
42,18,76,0,882.7
42,19,104,0,727.1
42,20,68,0,1041.2
42,22,76,0,1107.9
42,23,88,0,504.9
42,24,76,0,420.2
42,25,100,0,1187.0
43,2,80,4,581.6
43,3,68,0,714.4
43,4,100,0,793.3
43,6,56,0,765.8
43,8,68,0,377.7
43,9,84,0,895.4
43,10,96,0,462.8
43,11,88,0,363.0
43,12,92,0,1461.4
43,14,68,0,470.3
43,15,76,0,1299.0
43,16,92,0,638.1
43,17,96,0,504.8
43,18,112,0,599.2
43,20,72,0,479.9
43,21,84,0,513.6
43,22,100,0,540.9
43,23,80,0,426.9
43,24,80,0,583.5
44,1,72,0,967.1
44,3,72,0,406.9
44,4,80,0,633.8
44,6,48,0,1093.5
44,7,80,0,835.2
44,8,76,0,389.0
44,10,96,0,914.0
44,11,88,36,3095.9
44,12,80,4,3193.2
44,13,64,56,3459.8
44,14,92,72,3304.8
44,15,92,0,3049.3
44,16,92,76,3301.8
44,18,60,16,3300.3
44,19,92,44,3111.1
45,1,112,76,3404.2
45,2,72,0,3177.2
45,3,88,36,3315.2
45,5,92,88,3444.0
45,6,116,40,3357.9
45,7,92,72,3409.1
45,8,60,0,3073.7
45,9,80,52,3398.1
45,11,4,0,3062.3
45,12,4,0,3062.3
45,13,120,0,3226.1
45,14,76,28,3326.8
45,15,52,52,3465.1
45,17,52,28,3353.6
45,18,96,20,3205.1
45,19,64,4,3144.9
45,20,88,56,3387.0
45,24,84,80,3451.1
45,25,64,0,1173.5
46,3,56,16,3223.5
46,6,96,0,3051.6
46,9,84,16,3223.6
46,11,60,0,2805.1
46,16,136,0,3005.7
46,19,128,0,3051.2
46,24,104,0,2162.9
46,25,84,0,572.7
47,19,88,0,2840.9
47,22,72,8,2968.6
47,24,44,0,3099.8
47,25,52,0,2346.8
48,5,80,0,2032.5
48,9,80,0,446.6
48,11,84,16,2679.0
48,14,80,0,1893.7
49,1,60,48,3439.7
49,2,68,0,3126.4
49,4,88,0,1790.7
49,6,76,4,3155.5
49,8,64,16,3245.7
49,10,84,0,419.8
49,16,80,0,1474.1
49,19,64,0,2992.5
49,24,92,0,2959.8
50,1,92,0,1047.3
50,3,36,0,1477.9
50,6,92,0,899.6
50,8,44,0,2088.4
50,9,60,0,2505.7
50,11,76,0,2690.3
50,14,64,0,1114.7
50,16,68,0,2885.2
50,17,48,0,1977.7
50,19,40,32,3219.0
50,22,72,0,2920.8
50,24,72,24,3331.3
50,25,56,0,3169.0
51,1,80,0,2696.9
51,3,60,0,3004.4
51,4,80,0,2838.5
51,5,72,4,3109.2
51,6,96,0,2894.9
51,7,116,0,2940.0
51,9,68,0,2376.2
51,10,40,0,2069.9
51,11,60,0,2124.9
51,12,92,0,3020.9
51,13,84,0,2895.8
51,14,52,0,2667.4
51,15,92,0,3015.6
51,16,76,0,363.8
51,17,96,0,435.0
51,18,68,0,450.4
51,19,96,0,382.6
51,20,68,0,554.7
51,21,100,0,439.6
51,22,84,0,396.4
51,23,68,0,364.5
52,1,96,8,3303.5
52,2,56,8,3162.8
52,4,72,12,3184.0
52,5,68,0,3154.9
52,6,72,4,2967.0
52,7,84,20,3212.9
52,10,104,0,2429.9
52,11,88,0,3181.4
52,12,84,20,3235.8
52,13,104,0,3007.2
52,14,84,48,3360.4
52,15,28,0,2913.1
52,16,72,4,2273.4
52,17,60,0,3073.1
