feature,importance
X815_mean,5
X816_mean,5
X868_min,5
X870_min,5
X998_mean,5
X1003_mean,5
X1007_mean,5
X590_std,5
X340_std,5
X45_max,5
X65_mean,5
X69_mean,5
X660_min,5
X1078_mean,5
X590_min,5
X739_min,5
X6_range,5
X884_std,5
X885_std,5
X17_range,5
X65_max,5
X510_std,5
X886_std,5
X819_std,5
X652_mean,5
X870_mean,5
X80_range,5
X81_range,5
X845_std,5
X889_mean,5
X890_mean,5
X173_min,5
X354_median,5
X593_max,5
X837_std,5
X563_range,5
X486_range,5
X800_std,5
X77_max,5
X79_max,5
X571_mean,5
X1004_min,5
X464_std,5
X296_median,5
X145_max,5
X150_max,5
X160_max,5
X205_mean,5
X397_mean,5
X398_mean,5
X247_mean,5
X824_max,5
X827_max,5
X62_range,5
X832_range,5
X400_median,5
X165_min,5
X880_std,5
X809_std,5
X810_std,5
X398_std,5
X400_std,5
X405_std,5
X811_std,5
X784_mean,5
X874_mean,5
X829_min,5
X832_min,5
X752_mean,5
X613_max,5
X456_std,5
X877_mean,5
X882_mean,5
X191_max,5
X883_mean,5
X887_mean,5
X1002_median,5
X420_std,5
X428_std,5
X756_std,5
X572_max,5
X764_std,5
X155_range,5
X738_median,5
X435_median,5
X679_median,5
X841_mean,5
X78_mean,5
X80_mean,5
X842_mean,5
X479_max,5
X845_mean,5
X394_std,5
X190_range,5
X191_range,5
X260_min,5
X202_range,5
X807_std,5
X250_range,5
X794_mean,5
X795_mean,5
X792_std,5
X204_median,5
X121_range,5
X452_mean,5
X455_mean,5
X589_mean,5
X590_mean,5
X677_min,5
X110_mean,5
X734_median,5
X454_median,5
X447_min,5
X450_min,5
X793_min,5
X797_min,5
X165_range,5
X429_min,5
X873_max,5
X39_min,5
X131_min,5
X744_std,5
X759_std,5
X893_mean,5
X860_mean,5
X464_mean,5
X105_std,5
X465_mean,5
X1013_mean,5
X842_max,5
X846_max,5
X777_std,5
X907_mean,5
X1033_mean,5
X354_max,5
X1016_max,5
X911_mean,5
X1016_mean,5
X679_range,5
X18_min,5
X834_max,5
X835_max,5
X1011_max,5
X1013_min,5
X318_max,5
X210_max,5
X317_std,5
X1017_min,5
X748_median,5
X165_median,5
X669_min,5
X173_median,5
X777_min,5
X1019_max,5
X1006_max,4
X1012_max,4
X1013_max,4
X982_mean,4
X988_mean,4
X247_max,4
X753_median,4
X760_median,4
X802_median,4
X806_median,4
X747_min,4
X586_mean,4
X1074_max,4
X679_mean,4
X1019_range,4
X1020_range,4
X262_max,4
X481_max,4
X484_max,4
X180_max,4
X395_std,4
X997_median,4
X576_mean,4
X584_mean,4
X111_mean,4
X112_mean,4
X260_range,4
X126_max,4
X973_mean,4
X720_mean,4
X1000_median,4
X973_median,4
X40_min,4
